date,total_occurrences
2018-11-16,1269
2018-11-17,1253
2018-11-18,1281
2018-11-19,1301
2018-11-20,1283
2018-11-21,1268
2018-11-22,1298
2018-11-23,1395
2018-11-24,1349
2018-11-25,1324
2018-11-26,1281
2018-11-27,1290
2018-11-28,1365
2018-11-29,1371
2018-11-30,1362
2018-12-01,1408
2018-12-02,1484
2018-12-03,1400
2018-12-04,1287
2018-12-05,1371
2018-12-06,1422
2018-12-07,1405
2018-12-08,1340
2018-12-09,1357
2018-12-10,1364
2018-12-11,1341
2018-12-12,1377
2018-12-13,1358
2018-12-14,1354
2018-12-15,1379
2018-12-16,1483
2018-12-17,1421
2018-12-18,1456
2018-12-19,1424
2018-12-20,1439
2018-12-21,1440
2018-12-22,1476
2018-12-23,1409
2018-12-24,1436
2018-12-25,1416
2018-12-26,1470
2018-12-27,1401
2018-12-28,1480
2018-12-29,1492
2018-12-30,1458
2018-12-31,1452
2019-01-01,1447
2019-01-02,1452
2019-01-03,1455
2019-01-04,1593
2019-01-05,1532
2019-01-06,1579
2019-01-07,1588
2019-01-08,1515
2019-01-09,1485
2019-01-10,1490
2019-01-11,1629
2019-01-12,1524
2019-01-13,1524
2019-01-14,1526
2019-01-15,1560
2019-01-16,1528
2019-01-17,1461
2019-01-18,1594
2019-01-19,1551
2019-01-20,1487
2019-01-21,1506
2019-01-22,1514
2019-01-23,1571
2019-01-24,1500
2019-01-25,1585
2019-01-26,1582
2019-01-27,1509
2019-01-28,1529
2019-01-29,1556
2019-01-30,1500
2019-01-31,1574
2019-02-01,1655
2019-02-02,1583
2019-02-03,1484
2019-02-04,1549
2019-02-05,1564
2019-02-06,1567
2019-02-07,1595
2019-02-08,1632
2019-02-09,1601
2019-02-10,1608
2019-02-11,1479
2019-02-12,1436
2019-02-13,1581
2019-02-14,1511
2019-02-15,1560
2019-02-16,1573
2019-02-17,1487
2019-02-18,1543
2019-02-19,1479
2019-02-20,1401
2019-02-21,1479
2019-02-22,1470
2019-02-23,1398
2019-02-24,1392
2019-02-25,1439
2019-02-26,1410
2019-02-27,1466
2019-02-28,1468
2019-03-01,1512
2019-03-02,1477
2019-03-03,1383
2019-03-04,1433
2019-03-05,1359
2019-03-06,1465
2019-03-07,1396
2019-03-08,1358
2019-03-09,1401
2019-03-10,1418
2019-03-11,1320
2019-03-12,1479
2019-03-13,1408
2019-03-14,1369
2019-03-15,1402
2019-03-16,1330
2019-03-17,1355
2019-03-18,1341
2019-03-19,1422
2019-03-20,1399
2019-03-21,1345
2019-03-22,1256
2019-03-23,1283
2019-03-24,1282
2019-03-25,1318
2019-03-26,1280
2019-03-27,1316
2019-03-28,1295
2019-03-29,1327
2019-03-30,1282
2019-03-31,1205
2019-04-01,1357
2019-04-02,1421
2019-04-03,1394
2019-04-04,1336
2019-04-05,1421
2019-04-06,1314
2019-04-07,1381
2019-04-08,1418
2019-04-09,1397
2019-04-10,1353
2019-04-11,1344
2019-04-12,1370
2019-04-13,1379
2019-04-14,1384
2019-04-15,1435
2019-04-16,1460
2019-04-17,1418
2019-04-18,1467
2019-04-19,1354
2019-04-20,1304
2019-04-21,1334
2019-04-22,1288
2019-04-23,1375
2019-04-24,1373
2019-04-25,1344
2019-04-26,1323
2019-04-27,1368
2019-04-28,1284
2019-04-29,1330
2019-04-30,1277
2019-05-01,1380
2019-05-02,1257
2019-05-03,1231
2019-05-04,1219
2019-05-05,1262
2019-05-06,1219
2019-05-07,1327
2019-05-08,1276
2019-05-09,1327
2019-05-10,1310
2019-05-11,1265
2019-05-12,1231
2019-05-13,1248
2019-05-14,1328
2019-05-15,1362
2019-05-16,1281
2019-05-17,1253
2019-05-18,1290
2019-05-19,1287
2019-05-20,1378
2019-05-21,1322
2019-05-22,1287
2019-05-23,1308
2019-05-24,1311
2019-05-25,1269
2019-05-26,1257
2019-05-27,1156
2019-05-28,1192
2019-05-29,1220
2019-05-30,1306
2019-05-31,1257
2019-06-01,1291
2019-06-02,1336
2019-06-03,1201
2019-06-04,1288
2019-06-05,1223
2019-06-06,1210
2019-06-07,1195
2019-06-08,1232
2019-06-09,1201
2019-06-10,1222
2019-06-11,1234
2019-06-12,1283
2019-06-13,1345
2019-06-14,1233
2019-06-15,1237
2019-06-16,1278
2019-06-17,1299
2019-06-18,1260
2019-06-19,1248
2019-06-20,1202
2019-06-21,1212
2019-06-22,1227
2019-06-23,1238
2019-06-24,1305
2019-06-25,1207
2019-06-26,1238
2019-06-27,1163
2019-06-28,1233
2019-06-29,1274
2019-06-30,1193
2019-07-01,1223
2019-07-02,1177
2019-07-03,1212
2019-07-04,1272
2019-07-05,1271
2019-07-06,1260
2019-07-07,1202
2019-07-08,1264
2019-07-09,1188
2019-07-10,1232
2019-07-11,1233
2019-07-12,1153
2019-07-13,1185
2019-07-14,1220
2019-07-15,1149
2019-07-16,1269
2019-07-17,1253
2019-07-18,1233
2019-07-19,1136
2019-07-20,1217
2019-07-21,1125
2019-07-22,1252
2019-07-23,1336
2019-07-24,1368
2019-07-25,1491
2019-07-26,1407
2019-07-27,1096
2019-07-28,1157
2019-07-29,1151
2019-07-30,1160
2019-07-31,1162
2019-08-01,1173
2019-08-02,1183
2019-08-03,1231
2019-08-04,1302
2019-08-05,1160
2019-08-06,1154
2019-08-07,1152
2019-08-08,1189
2019-08-09,1278
2019-08-10,1139
2019-08-11,1131
2019-08-12,1127
2019-08-13,1190
2019-08-14,1180
2019-08-15,1119
2019-08-16,1191
2019-08-17,1198
2019-08-18,1210
2019-08-19,1149
2019-08-20,1096
2019-08-21,1139
2019-08-22,1273
2019-08-23,1252
2019-08-24,1277
2019-08-25,1359
2019-08-26,1268
2019-08-27,1295
2019-08-28,1239
2019-08-29,1126
2019-08-30,1230
2019-08-31,1256
2019-09-01,1139
2019-09-02,1160
2019-09-03,1250
2019-09-04,1230
2019-09-05,1165
2019-09-06,1195
2019-09-07,1197
2019-09-08,1153
2019-09-09,1289
2019-09-10,1310
2019-09-11,1308
2019-09-12,1235
2019-09-13,1183
2019-09-14,1169
2019-09-15,1247
2019-09-16,1262
2019-09-17,1224
2019-09-18,1199
2019-09-19,1238
2019-09-20,1272
2019-09-21,1240
2019-09-22,1312
2019-09-23,1236
2019-09-24,1318
2019-09-25,1296
2019-09-26,1312
2019-09-27,1246
2019-09-28,1203
2019-09-29,1295
2019-09-30,1282
2019-10-01,1323
2019-10-02,1170
2019-10-03,1309
2019-10-04,1298
2019-10-05,1303
2019-10-06,1324
2019-10-07,1338
2019-10-08,1361
2019-10-09,1315
2019-10-10,1367
2019-10-11,1344
2019-10-12,1370
2019-10-13,1329
2019-10-14,1381
2019-10-15,1333
2019-10-16,1322
2019-10-17,1358
2019-10-18,1366
2019-10-19,1333
2019-10-20,1266
2019-10-21,1272
2019-10-22,1347
2019-10-23,1388
2019-10-24,1324
2019-10-25,1424
2019-10-26,1397
2019-10-27,1330
2019-10-28,1342
2019-10-29,1372
2019-10-30,1358
2019-10-31,1349
2019-11-01,1469
2019-11-02,1495
2019-11-03,1422
2019-11-04,1390
2019-11-05,1369
2019-11-06,1337
2019-11-07,1379
2019-11-08,1427
2019-11-09,1278
2019-11-10,1448
2019-11-11,1445
2019-11-12,1464
2019-11-13,1430
2019-11-14,1340
2019-11-15,1464
2019-11-16,1457
2019-11-17,1392
2019-11-18,1440
2019-11-19,1430
2019-11-20,1445
2019-11-21,1510
2019-11-22,1514
2019-11-23,1501
2019-11-24,1497
2019-11-25,1460
2019-11-26,1535
2019-11-27,1428
2019-11-28,1408
2019-11-29,1303
2019-11-30,1368
2019-12-01,1367
2019-12-02,1405
2019-12-03,1459
2019-12-04,1480
2019-12-05,1535
2019-12-06,1565
2019-12-07,1494
2019-12-08,1477
2019-12-09,1471
2019-12-10,1531
2019-12-11,1582
2019-12-12,1534
2019-12-13,1568
2019-12-14,1524
2019-12-15,1532
2019-12-16,1631
2019-12-17,1541
2019-12-18,1572
2019-12-19,1724
2019-12-20,1674
2019-12-21,1656
2019-12-22,1572
2019-12-23,1616
2019-12-24,1612
2019-12-25,1583
2019-12-26,1531
2019-12-27,1646
2019-12-28,1586
2019-12-29,1620
2019-12-30,1636
2019-12-31,1658
2020-01-01,1584
2020-01-02,1722
2020-01-03,1695
2020-01-04,1600
2020-01-05,1575
2020-01-06,1622
2020-01-07,1607
2020-01-08,1618
2020-01-09,1636
2020-01-10,1545
2020-01-11,1540
2020-01-12,1622
2020-01-13,1570
2020-01-14,1534
2020-01-15,1558
2020-01-16,1552
2020-01-17,1535
2020-01-18,1406
2020-01-19,1352
2020-01-20,1439
2020-01-21,1539
2020-01-22,1498
2020-01-23,1446
2020-01-24,1438
2020-01-25,1431
2020-01-26,1468
2020-01-27,1481
2020-01-28,1420
2020-01-29,1408
2020-01-30,1477
2020-01-31,1536
2020-02-01,1394
2020-02-02,1429
2020-02-03,1337
2020-02-04,1382
2020-02-05,1439
2020-02-06,1459
2020-02-07,1516
2020-02-08,1445
2020-02-09,1488
2020-02-10,1543
2020-02-11,1324
2020-02-12,1435
2020-02-13,1468
2020-02-14,1417
2020-02-15,1506
2020-02-16,1455
2020-02-17,1416
2020-02-18,1401
2020-02-19,1430
2020-02-20,1486
2020-02-21,1430
2020-02-22,1486
2020-02-23,1354
2020-02-24,1437
2020-02-25,1472
2020-02-26,1376
2020-02-27,1378
2020-02-28,1455
2020-02-29,1514
2020-03-01,1428
2020-03-02,1553
2020-03-03,1491
2020-03-04,1408
2020-03-05,1352
2020-03-06,1497
2020-03-07,1421
2020-03-08,1435
2020-03-09,1412
2020-03-10,1486
2020-03-11,1482
2020-03-12,1377
2020-03-13,1379
2020-03-14,1368
2020-03-15,1417
2020-03-16,1475
2020-03-17,1486
2020-03-18,1493
2020-03-19,1470
2020-03-20,1503
2020-03-21,1509
2020-03-22,1518
2020-03-23,1572
2020-03-24,1564
2020-03-25,1616
2020-03-26,1587
2020-03-27,1645
2020-03-28,1675
2020-03-29,1449
2020-03-30,1693
2020-03-31,1680
2020-04-01,1769
2020-04-02,1815
2020-04-03,1779
2020-04-04,1888
2020-04-05,1878
2020-04-06,1886
2020-04-07,1787
2020-04-08,1829
2020-04-09,1850
2020-04-10,1846
2020-04-11,1791
2020-04-12,1817
2020-04-13,1640
2020-04-14,1565
2020-04-15,1675
2020-04-16,1717
2020-04-17,1648
2020-04-18,1629
2020-04-19,1657
2020-04-20,1595
2020-04-21,1586
2020-04-22,1540
2020-04-23,1501
2020-04-24,1515
2020-04-25,1528
2020-04-26,1438
2020-04-27,1523
2020-04-28,1372
2020-04-29,1280
2020-04-30,1390
2020-05-01,1374
2020-05-02,1361
2020-05-03,1317
2020-05-04,1299
2020-05-05,1237
2020-05-06,1254
2020-05-07,1277
2020-05-08,1312
2020-05-09,1286
2020-05-10,1216
2020-05-11,1146
2020-05-12,1178
2020-05-13,1228
2020-05-14,1130
2020-05-15,1260
2020-05-16,1186
2020-05-17,1226
2020-05-18,1216
2020-05-19,1251
2020-05-20,1198
2020-05-21,1231
2020-05-22,1119
2020-05-23,1083
2020-05-24,1052
2020-05-25,1102
2020-05-26,1192
2020-05-27,1153
2020-05-28,1075
2020-05-29,1140
2020-05-30,1111
2020-05-31,1104
2020-06-01,1188
2020-06-02,1213
2020-06-03,1112
2020-06-04,1141
2020-06-05,1141
2020-06-06,1100
2020-06-07,1126
2020-06-08,1198
2020-06-09,1152
2020-06-10,1119
2020-06-11,1122
2020-06-12,1099
2020-06-13,1179
2020-06-14,1118
2020-06-15,1149
2020-06-16,1140
2020-06-17,1146
2020-06-18,1107
2020-06-19,1065
2020-06-20,1147
2020-06-21,1104
2020-06-22,1138
2020-06-23,1162
2020-06-24,1231
2020-06-25,1292
2020-06-26,1298
2020-06-27,1158
2020-06-28,1034
2020-06-29,1061
2020-06-30,1094
2020-07-01,1146
2020-07-02,1098
2020-07-03,1127
2020-07-04,1068
2020-07-05,1081
2020-07-06,1062
2020-07-07,1068
2020-07-08,1155
2020-07-09,1194
2020-07-10,1093
2020-07-11,1128
2020-07-12,1105
2020-07-13,1162
2020-07-14,1119
2020-07-15,1097
2020-07-16,1149
2020-07-17,1208
2020-07-18,1219
2020-07-19,1135
2020-07-20,1097
2020-07-21,1148
2020-07-22,1135
2020-07-23,1164
2020-07-24,1180
2020-07-25,1112
2020-07-26,1040
2020-07-27,1081
2020-07-28,1049
2020-07-29,1082
2020-07-30,1136
2020-07-31,1275
